,poets,titles,fulltexts
28,Robert Southey,"Cataract Of Lodore, The","
""How does the water
Come down at Lodore?""
My little boy asked me
Thus, once on a time;
And moreover he tasked me
To tell him in rhyme.
Anon at the word,
There first came one daughter,
And then came another,
To second and third
The request of their brother,
And to hear how the water
Comes down at Lodore,
With its rush and its roar,
As many a time
They had seen it before.
So I told them in rhyme,
For of rhymes I had store;
And 'twas in my vocation
For their recreation
That so I should sing;
Because I was Laureate
To them and the King.

From its sources which well
In the tarn on the fell;
From its fountains
In the mountains,
Its rills and its gills;
Through moss and through brake,
It runs and it creeps
For a while till it sleeps
In its own little lake.
And thence at departing,
Awakening and starting,
It runs through the reeds,
And away it proceeds,
Through meadow and glade,
In sun and in shade,
And through the wood-shelter,
Among crags in its flurry,
Helter-skelter,
Hurry-skurry,
Here it comes sparkling,
And there it lies darkling;
Now smoking and frothing
Its tumult and wrath in,
Till, in this rapid race
On which it is bent,
It reaches the place
Of its steep descent.

The cataract strong
Then plunges along,
Striking and raging
As if a war waging
Its caverns and rocks among;
Rising and leaping,
Sinking and creeping,
Swelling and sweeping,
Showering and springing,
Flying and flinging,
Writhing and wringing,
Eddying and whisking,
Spouting and frisking,
Turning and twisting
Around and around
With endless rebound:
Smiting and fighting,
A sight to delight in;
Confounding, astounding,
Dizzying and deafening the ear with its sound.

Collecting, projecting,
Receding and speeding,
And shocking and rocking,
And darting and parting,
And threading and spreading,
And whizzing and hissing,
And dripping and skipping,
And hitting and splitting,
And shining and twining,
And rattling and battling,
And shaking and quaking,
And pouring and roaring,
And waving and raving,
And tossing and crossing,
And flowing and going,
And running and stunning,
And foaming and roaming,
And dinning and spinning,
And dropping and hopping,
And working and jerking,
And guggling and struggling,
And heaving and cleaving,
And moaning and groaning;
And glittering and frittering,
And gathering and feathering,
And whitening and brightening,
And quivering and shivering,
And hurrying and skurrying,
And thundering and floundering;

Dividing and gliding and sliding,
And falling and brawling and sprawling,
And driving and riving and striving,
And sprinkling and twinkling and wrinkling,
And sounding and bounding and rounding,
And bubbling and troubling and doubling,
And grumbling and rumbling and tumbling,
And clattering and battering and shattering;

Retreating and beating and meeting and sheeting,
Delaying and straying and playing and spraying.
Advancing and prancing and glancing and dancing,
Recoiling, turmoiling and toiling and boiling,
And gleaming and streaming and steaming and beaming,
And rushing and flushing and brushing and gushing,
And flapping and rapping and clapping and slapping,
And curling and whirling and purling and twirling,
And thumping and plumping and bumping and jumping,
And dashing and flashing and splashing and clashing;
And so never ending, but always descending,
Sounds and motions forever and ever are blending,
All at once and all o'er, with a mighty uproar,
And this way the water comes down at Lodore."
29,Robert Southey,"Well Of St. Keyne, The","
A well there is in the west country,
And a clearer one never was seen;
There is not a wife in the west country
But has heard of the Well of St. Keyne.

An oak and an elm-tree stand beside,
And behind doth an ash-tree grow,
And a willow from the bank above
Droops to the water below.

A traveller came to the Well of St. Keyne,
Joyfully he drew nigh,
For from cock-crow he had been travelling,
And there was not a cloud in the sky.

He drank of the water so cool and clear,
For thirsty and hot was he;
And he sat down upon the bank
Under the willow-tree.

There came a man from the house hard by
At the well to fill his pail;
On the well-side he rested it,
And he bade the stranger hail.

""Now art thou a bachelor, stranger?"" quoth he,
""For an if thou hast a wife,
The happiest draught thou hast drank this day
That ever thou didst in thy life.

""Or hast thy good woman, if one thou hast,
Ever here in Cornwall been?
For an if she have, I'll venture my life
She has drank of the Well of St. Keyne.""

""I have left a good woman who never was here,""
The stranger he made reply;
""But that my draught should be the better for that
I pray you answer me why?""

""St. Keyne,"" quoth the Cornishman, ""many a time
Drank of this crystal well,
And before the angels summon'd her,
She laid on the water a spell.

""If the husband of this gifted well
Shall drink before his wife,
A happy man thenceforth is he,
For he shall be master for life.

""But if the wife should drink of it first,
God help the husband then!""
The stranger stooped to the Well of St. Keyne,
And drank of the water again.

""You drank of the well, I warrant, betimes?""
He to the Cornishman said:
But the Cornishman smiled as the stranger spake,
And sheepishly shook his head.

""I hasten'd as soon as the wedding was done,
And left my wife in the porch;
But i' faith she had been wiser than me,
For she took a bottle to church."""
30,Robert Southey,"Devil's Walk On Earth, The","
From his brimstone bed at break of day
A walking the Devil is gone,
To look at his snug little farm of the World,
And see how his stock went on.

Over the hill and over the dale,
And he went over the plain;
And backward and forward he swish'd his tail
As a gentleman swishes a cane.

How then was the Devil drest?
Oh, he was in his Sunday's best
His coat was red and his breeches were blue,
And there was a hole where his tail came through.
A lady drove by in her pride,
In whose face an expression he spied
For which he could have kiss'd her;
Such a flourishing, fine, clever woman was she,
With an eye as wicked as wicked can be,
I should take her for my Aunt, thought he,
If my dam had had a sister.

He met a lord of high degree,
No matter what was his name;
Whose face with his own when he came to compare
The expression, the look, and the air,
And the character, too, as it seem'd to a hair,
Such a twin-likeness there was in the pair
That it made the Devil start and stare
For he thought there was surely a looking-glass there,
But he could not see the frame.

He saw a Lawyer killing a viper,
On a dung-hill beside his stable;
Ha! quoth he, thou put'st me in mind
Of the story of Cain and Abel.

An Apothecary on a white horse
Rode by on his vocation;
And the Devil thought of his old friend
Death in the Revelation.

He pass'd a cottage with a double coach-house,
A cottage of gentility,
And he own'd with a grin
That his favorite sin,
Is pride that apes humility.

He saw a pig rapidly
Down a river float;
The pig swam well, but every stroke
Was cutting his own throat;
And Satan gave thereat his tail
A twirl of admiration;
For he thought of his daughter War,
And her suckling babe Taxation.

Well enough, in sooth, he liked that truth
And nothing the worse for the jest;
But this was only a first thought
And in this he did not rest:
Another came presently into his head,
And here it proved, as has often been said
That second thoughts are best.

For as Piggy plied with wind and tide,
His way with such celerity,
And at every stroke the water dyed
With his own red blood, the Devil cried,
Behold a swinish nation's pride
In cotton-spun prosperity.

He walk'd into London leisurely,
The streets were dirty and dim:
But there he saw Brothers the Prophet,
And Brothers the Prophet saw him.

He entered a thriving bookseller's shop;
Quoth he, we are both of one college,
For I myself sate like a Cormorant once
Upon the Tree of Knowledge.

As he passed through Cold-Bath Fields he look'd
At a solitary cell;
And he was well-pleased, for it gave him a hint
For improving the prisons of Hell.

He saw a turnkey tie a thief's hands
With a cordial tug and jerk;
Nimbly, quoth he, a man's fingers move
When his heart is in his work.
He saw the same turnkey unfettering a man
With little expedition;
And he chuckled to think of his dear slave-trade,
And the long debates and delays that were made,
Concerning its abolition.

He met one of his favorite daughters
By an Evangelical Meeting:
And forgetting himself for joy at her sight,
He would have accosted her outright,
And given her a fatherly greeting.

But she tipt him the wink, drew back, and cried,
Avaunt! my name's Religion!
And then she turn'd to the preacher
And leer'd like a love-sick pigeon.

A fine man and a famous Professor was he,
As the great Alexander now may be,
Whose fame not yet o'erpast is:
Or that new Scotch performer
Who is fiercer and warmer,
The great Sir Arch-Bombastes.

With throbs and throes, and ah's and oh's.
Far famed his flock for frightning;
And thundering with his voice, the while
His eyes zigzag like lightning.

This Scotch phenomenon, I trow,
Beats Alexander hollow;
Even when most tame
He breathes more flame
Then ten Fire-Kings could swallow.

Another daughter he presently met;
With music of fife and drum,
And a consecrated flag,
And shout of tag and rag,
And march of rank and file,
Which had fill'd the crowded aisle
Of the venerable pile,
From church he saw her come.
He call'd her aside, and began to chide,
For what dost thou here? said he,
My city of Rome is thy proper home,
And there's work enough there for thee.

Thou hast confessions to listen,
And bells to christen,
And altars and dolls to dress;
And fools to coax,
And sinners to hoax,
And beads and bones to bless;
And great pardons to sell
For those who pay well,
And small ones for those who pay less.

Nay, Father, I boast, that this is my post,
She answered; and thou wilt allow,
That the great Harlot,
Who is clothed in scarlet,
Can very well spare me now.

Upon her business I am come here,
That we may extend our powers:
Whatever lets down this church that we hate,
Is something in favor of ours.

You will not think, great Cosmocrat!
That I spend my time in fooling;
Many irons, my sire, have we in the fire,
And I must leave none of them cooling;
For you must know state-councils here,
Are held which I bear rule in.
When my liberal notions,
Produce mischievous motions,
There's many a man of good intent,
In either house of Parliament,
Whom I shall find a tool in;
And I have hopeful pupils too
Who all this while are schooling.

Fine progress they make in our liberal opinions,
My Utilitarians,
My all sorts of, inians
And all sorts of, arians;
My all sorts of, ists,
And my Prigs and my Whigs
Who have all sorts of twists
Train'd in the very way, I know,
Father, you would have them go;
High and low,
Wise and foolish, great and small,
March-of-Intellect-Boys all.

Well pleased wilt thou be at no very far day
When the caldron of mischief boils,
And I bring them forth in battle array
And bid them suspend their broils,
That they may unite and fall on the prey,
For which we are spreading our toils.
How the nice boys all will give mouth at the call,
Hark away! hark away to the spoils!
My Macs and my Quacks and my lawless-Jacks,
My Shiels and O'Connells, my pious Mac-Donnells,
My joke-smith Sydney, and all of his kidney,
My Humes and my Broughams,
My merry old Jerry,
My Lord Kings, and my Doctor Doyles!

At this good news, so great
The Devil's pleasure grew,
That with a joyful swish he rent
The hole where his tail came through.

His countenance fell for a moment
When he felt the stitches go;
Ah! thought he, there's a job now
That I've made for my tailor below.

Great news! bloody news! cried a newsman;
The Devil said, Stop, let me see!
Great news? bloody news? thought the Devil,
The bloodier the better for me.
So he bought the newspaper, and no news
At all for his money he had.
Lying varlet, thought he, thus to take in old Nick!
But it's some satisfaction, my lad,
To know thou art paid beforehand for the trick,
For the sixpence I gave thee is bad.

And then it came into his head
By oracular inspiration,
That what he had seen and what he had said
In the course of this visitation,
Would be published in the Morning Post
For all this reading nation.

Therewith in second sight he saw
The place and the manner and time,
In which this mortal story
Would be put in immortal rhyme.

That it would happen when two poets
Should on a time be met,
In the town of Nether Stowey,
In the shire of Somerset.

There while the one was shaving
Would he the song begin;
And the other when he heard it at breakfast,
In ready accord join in.

So each would help the other,
Two heads being better than one;
And the phrase and conceit
Would in unison meet,
And so with glee the verse flow free,
In ding-dong chime of sing-song rhyme,
Till the whole were merrily done.

And because it was set to the razor,
Not to the lute or harp,
Therefore it was that the fancy
Should be bright, and the wit be sharp.
But, then, said Satan to himself,
As for that said beginner,
Against my infernal Majesty,
There is no greater sinner.

He hath put me in ugly ballads
With libelous pictures for sale;
He hath scoff'd at my hoofs and my horns,
And has made very free with my tail.

But this Mister Poet shall find
I am not a safe subject for whim;
For I'll set up a School of my own,
And my Poets shall set upon him.

He went to a coffee-house to dine,
And there he had soy in his dish;
Having ordered some soles for his dinner,
Because he was fond of flat fish.

They are much to my palate, thought he,
And now guess the reason who can,
Why no bait should be better than place,
When I fish for a Parliament-man.

But the soles in the bill were ten shillings;
Tell your master, quoth he, what I say;
If he charges at this rate for all things,
He must be in a pretty good way.

But mark ye, said he to the waiter,
I'm a dealer myself in this line,
And his business, between you and me,
Nothing like so extensive as mine.

Now soles are exceedingly cheap,
Which he will not attempt to deny,
When I see him at my fish-market,
I warrant him, by-and-by.
As he went along the Strand
Between three in the morning and four
He observed a queer-looking person
Who staggered from Perry's door.

And he thought that all the world over
In vain for a man you might seek,
Who could drink more like a Trojan
Or talk more like a Greek.

The Devil then he prophesied
It would one day he matter of talk,
That with wine when smitten,
And with wit moreover being happily bitten,
The erudite bibber was he who had written
The story of this walk.

A pretty mistake, quoth the Devil;
A pretty mistake I opine!
I have put many ill thoughts in his mouth,
He will never put good ones in mine.

And whoever shall say that to Porson
These best of all verses belong,
He is an untruth-telling whore-son,
And so shall be call'd in the song.

And if seeking an illicit connection with fame,
Any one else should put in a claim,
In this comical competition;
That excellent poem will prove
A man-trap for such foolish ambition,
Where the silly rogue shall be caught by the leg,
And exposed in a second edition.

Now the morning air was cold for him
Who was used to a warm abode;
And yet he did not immediately wish,
To set out on his homeward road.
For he had some morning calls to make
Before he went back to Hell;
So thought he I'll step into a gaming-house,
And that will do as well;
But just before he could get to the door
A wonderful chance befell.

For all on a sudden, in a dark place,
He came upon General ----'s burning face;
And it struck him with such consternation,
That home in a hurry his way did he take,
Because he thought, by a slight mistake
'Twas the general conflagration."
31,Robert Southey,"Battle Of Blenheim, The","
It was a summer's evening;
Old Casper's work was done,
And he before his cottage-door
Was sitting in the sun;
And by him sported on the green
His little grandchild Wilhelmine.

She saw her brother Peterkin
Roll something large and round,
That he beside the rivulet
In playing there had found.
He came to ask what he had found,
That was so large, and smooth, and round.

Old Casper took it from the boy,
Who stood expectant by;
And then the old man shook his head,
And with a natural sigh,
""'Tis some poor fellow's skull,"" said he,
""Who fell in the great victory.

""I find them in the garden, for
There's many here about;
And often, when I go to plough,
The ploughshare turns them out;
For many thousand men,"" said he,
""Were slain in the great victory.""

""Now tell us what 'twas all about,""
Young Peterkin he cries;
And little Wilhelmine looks up,
With wonder-waiting eyes:
""Now tell us all about the war,
And what they kill'd each other for.""

""It was the English,"" Casper cried,
""That put the French to rout;
But what they kill'd each other for,
I could not well make out;
But everybody said,"" quoth he,
""That 'twas a famous victory.

""My father lived at Blenheim then,
Yon little stream hard by;
They burnt his dwelling to the ground,
And he was forced to fly;
So with his wife and child he fled,
Nor had he where to rest his head.

""With fire and sword the country round,
Was wasted far and wide,
And many a childing mother then
And new-born infant died.
But things like that, you know, must be
At every famous victory.

""They say it was a shocking sight,
After the field was won,
For many a thousand bodies here
Lay rotting in the sun.
But things like that, you know, must be
After a famous victory.

""Great praise the Duke of Marlbro' won,
And our good Prince Eugene.""
""Why, 'twas a very wicked thing!""
Said little Wilhelmine.
""Nay, nay, my little girl,"" quoth he,
""It was a famous victory;

""And everybody praised the duke,
Who such a fight did win.""
""But what good came of it at last?""
Quoth little Peterkin.
""Why, that I cannot tell,"" said he;
""But 'twas a famous victory."""
32,Abraham a Sancta-Clara,St. Anthony's Sermon To The Fishes,"
Saint Anthony at church
Was left in the lurch,
So he went to the ditches
And preached to the fishes.
They wriggled their tails,
In the sun glanced their scales.

The carps, with their spawn,
Are all thither drawn;
Have opened their jaws,
Eager for each clause.
No sermon beside
Had the carps so edified.

Sharp-snouted pikes,
Who keep fighting like tikes,
Now swam up harmonious
To hear Saint Antonius.
No sermon beside
Had the pikes so edified.

And that very odd fish,
Who loves fast-days, the cod-fish,
The stock-fish, I mean,
At the sermon was seen.
No sermon beside
Had the cods so edified.

Good eels and sturgeon,
Which aldermen gorge on,
Went out of their way
To hear preaching that day.
No sermon beside
Had the eels so edified.

Crabs and turtles also,
Who always move low,
Made haste from the bottom
As if the devil had got 'em.
No sermon beside
The crabs so edified.

Fish great and fish small,
Lords, lackeys, and all,
Each looked at the preacher
Like a reasonable creature.
At God's word,
They Anthony heard.

The sermon now ended,
Each turned and descended;
The pikes went on stealing,
The eels went on eeling.
Much delighted were they,
But preferred the old way.

The crabs are backsliders,
The stock-fish thick-siders,
The carps are sharp-set,
All the sermon forget.
Much delighted were they,
But preferred the old way."
33,George Canning,"Elderly Gentleman, The","By the side of a murmuring stream an elderly gentleman sat.
On the top of his head was a wig, and a-top of his wig was his hat.

The wind it blew high and blew strong, as the elderly gentleman sat;
And bore from his head in a trice, and plunged in the river his hat.

The gentleman then took his cane which lay by his side as he sat;
And he dropped in the river his wig, in attempting to get out his hat.

His breast it grew cold with despair, and full in his eye madness sat;
So he flung in the river his cane to swim with his wig, and his hat.

Cool reflection at last came across while this elderly gentleman sat;
So he thought he would follow the stream and look for his cane, wig, and hat.

His head being thicker than common, o'er-balanced the rest of his fat;
And in plumped this son of a woman to follow his wig, cane, and hat."
34,George Canning,"Knife-Grinder, The","
Friend of Humanity

""Needy Knife-grinder! whither are you going?
Rough is the road, your wheel is out of order,
Bleak blows the blast; your hat has got a hole in't,
 So have your breeches!

""Weary Knife-grinder! little think the proud ones,
Who in their coaches roll along the turnpike-
Road, what hard work 'tis crying all day' Knives and
 Scissors to grind O!'

""Tell me, Knife-grinder, how you came to grind knives?
Did some rich man tyrannically use you?
Was it the squire? or parson of the parish?
 Or the attorney?

""Was it the squire, for killing of his game? or
Covetous parson, for his tithes distraining?
Or roguish lawyer, made you lose your little
 All in a law-suit?

""(Have you not read the Rights of Man, by Tom Paine?)
Drops of compassion tremble on my eyelids,
Ready to fall, as soon as you have told your
 Pitiful story.""

 Knife-grinder

""Story! God bless you! I have none to tell, sir,
Only last night, a-drinking at the Chequers,
This poor old hat and breeches, as you see, were
 Tom in a scuffle.

""Constables came up for to take me into
Custody; they took me before the justice;
Justice Oldmixon put me in the parish-
 Stocks for a vagrant.

""I should be glad to drink your Honour's health in
A pot of beer, if you will give me sixpence;
But for my part, I never love to meddle
 With politics, sir.""

Friend of Humanity

""I give thee sixpence! I will see thee damn'd first,
Wretch! whom no sense of wrongs can rouse to vengeance,
Sordid, unfeeling, reprobate, degraded,
 Spiritless outcast!""

[Kicks the Knife-grinder, overturns his wheel, and exit in a transport of Republican enthusiasm and universal philanthropy.]"
35,Tomas de Iriarte y Oropesa,"Musical Ass, The","
The fable which I now present,
Occurred to me by accident:
And whether bad or excellent,
Is merely so by accident.

A stupid ass this morning went
Into a field by accident:
And cropped his food, and was content,
Until he spied by accident
A flute, which some oblivious gent
Had left behind by accident;
When, sniffling it with eager scent,
He breathed on it by accident,
And made the hollow instrument
Emit a sound by accident.
""Hurrah, hurrah!"" exclaimed the brute,
""How cleverly I play the flute!""

A fool, in spite of nature's bent,
May shine for once, by accident."
36,James Kenneth Stephen,"Last Ride Together, The","
From Her Point Of View


When I had firmly answered ""No,""
And he allowed that that was so,
I really thought I should be free
For good and all from Mr. B.,
And that he would soberly acquiesce.
I said that it would be discreet
That for awhile we should not meet;
I promised that I would always feel
A kindly interest in his weal;
I thanked him for his amorous zeal;
In short, I said all I could but ""yes.""

I said what I'm accustomed to;
I acted as I always do.
I promised he should find in me
A friend, a sister, if that might be;
But he was still dissatisfied.
He certainly was most polite;
He said exactly what was right,
He acted very properly,
Except indeed for this, that he
Insisted on inviting me
To come with him for ""one more last ride.""

A little while in doubt I stood:
A ride, no doubt, would do me good;
I had a habit and a hat
Extremely well worth looking at;
The weather was distinctly fine.
My horse, too, wanted exercise,
And time, when one is riding, flies;
Besides, it really seemed, you see,
The only way of ridding me
Of pertinacious Mr. B.;
So my head I graciously incline.

I won't say much of what happened next;
I own I was extremely vexed.
Indeed I should have been aghast
If any one had seen what passed;
But nobody need ever know
That, as I leaned forward to stir the fire,
He advanced before I could well retire;
And I suddenly felt, to my great alarm,
The grasp of a warm, unlicensed arm,
An embrace in which I found no charm;
I was awfully glad when he let me go.

Then we began to ride; my steed
Was rather fresh, too fresh indeed,
And at first I thought of little, save
The way to escape an early grave,
As the dust rose up on either side.
My stern companion jogged along
On a brown old cob both broad and strong.
He looked as he does when he's writing verse,
Or endeavoring not to swear and curse,
Or wondering Where he has left his purse;
Indeed it was a sombre ride.

I spoke of the weather to Mr. B.,
But he neither listened nor spoke to me.
I praised his horse, and I smiled the smile
Which was wont to move him once in a while.
I said I was wearing his favorite flowers,
But I wasted my words on the desert air,
For he rode with a fixed and gloomy stare.
I wonder what he was thinking about.
As I don't read verse, I shan't find out.
It was something subtle and deep, no doubt,
A theme to detain a man for hours.

Ah! there was the corner where Mr. S.
So nearly induced me to whisper ""yes"";
And here it was that the next but one
Proposed on horseback, or would have done,
Had his horse not most opportunely shied;
Which perhaps was due to the unseen flick
He received from my whip; 'twas a scurvy trick,
But I never could do with that young man,
I hope his present young woman can.
Well, I must say, never, since time began,
Did I go for a duller or longer ride.

He never smiles and he never speaks;
He might go on like this for weeks;
He rolls a slightly frenzied eye
Towards the blue and burning sky,
And the cob bounds on with tireless stride.
If we aren't home for lunch at two
I don't know what papa will do;
But I know full well he will say to me,
""I never approved of Mr. B.;
It's the very devil that you and he
Ride, ride together, forever ride."""
37,James Kenneth Stephen,Senex To Matt. Prior,"Ah! Matt, old age has brought to me
Thy wisdom, less thy certainty;
The world's a jest, and joy's a trinket;
I knew that once, but now I think it."
38,James Kenneth Stephen,Cynicus To W. Shakespeare,"You wrote a line too much, my sage,
Of seers the first, and first of sayers;
For only half the world's a stage,
And only all the women players."
39,James Kenneth Stephen,"Thought, A","If all the harm that women have done
Were put in a bundle and rolled into one,
Earth would not hold it,
The sky could not enfold it,
It could not be lighted nor warmed by the sun;
Such masses of evil
Would puzzle the devil,
And keep him in fuel while Time's wheels run.

But if all the harm that's been done by men
Were doubled, and doubled, and doubled again,
And melted and fused into vapour, and then
Were squared and raised to the power of ten,
There wouldn't be nearly enough, not near,
To keep a small girl for the tenth of a year."
40,Stephen Crane,"Man, The","A man said to the universe,
""Sir, I exist!""
""However,"" replied the universe,
""The fact has not created in me
A sense of obligation."""
41,Alice Duer Miller,If They Meant All They Said,"Charm is a woman's strongest arm;
My charwoman is full of charm;
I chose her, not for strength of arm
But for her strange, elusive charm.

And how tears heighten woman's powers!
My typist weeps for hours and hours:
I took her for her weeping powers,
They so delight my business hours.

A woman lives by intuition.
Though my accountant shuns addition
She has the rarest intuition.
(And I myself can do addition.)

Timidity in girls is nice.
My cook is so afraid of mice.
Now you'll admit it's very nice
To feel your cook's afraid of mice."
42,Ruth McEnery Stuart,"Endless Song, The","
Oh, I used to sing a song,
An' dey said it was too long,
So I cut it off de en'
To accommodate a frien'
Nex' do', nex' do'
To accommodate a frien' nex' do'.

But it made de matter wuss
Dan it had been at de fus,
'Ca'ze de en' was gone, an' den
Co'se it didn't have no en'
Any mo', any mo'
Oh, it didn't have no en' any mo'!

So, to save my frien' from sinnin',
I cut off de song's beginnin';
Still he cusses right along
Whilst I sings about my song
Jes so, jes so,
Whilst I sings about my song jes so.

How to please 'im is my riddle,
So I'll fall back on my fiddle;
For I'd stan' myself on en'
To accommodate a frien'
Nex' do', nex' do'
To accommodate a frien' nex' do'."
43,Ruth McEnery Stuart,"Hen-Roost Man, The","De Hen-roost Man he'll preach about Paul,
An' James an' John, an' Herod, an' all,
But nuver a word about Peter, oh, no!
He's afeard he'll hear dat rooster crow.
An' he ain't by 'isself in dat, in dat,
An' he ain't by 'isself in dat."
44,Sam Walter Foss,Then Ag'in,"
Jim Bowker, he said, ef he'd had a fair show,
And a big enough town for his talents to grow,
And the least bit assistance in hoein' his row,
Jim Bowker, he said,
He'd filled the world full of the sound of his name,
An' clim the top round in the ladder of fame.
It may have been so;
I dunno;
Jest so, it might been,
Then ag'in,

But he had tarnal luck, eyerythin' went ag'in him,
The arrers of fortune they allus' 'ud pin him;
So he didn't get no chance to show off what was in him.
Jim Bowker, he said,
Ef he'd had a fair show, you couldn't tell where he'd come,
An' the feats he'd a-done, an' the heights he'd a-clum,
It may have been so;
I dunno;
Jest so, it might been,
Then ag'in,

But we're all like Jim Bowker, thinks I, more or less,
Charge fate for our bad luck, ourselves for success,
An' give fortune the blame for all our distress,
As Jim Bowker, he said,
Ef it hadn't been for luck an' misfortune an' sich,
We might a-been famous, an' might a-been rich.
It might be jest so;
I dunno;
Jest so, it might been,
Then ag'in,"
45,Sam Walter Foss,"Ideal Husband To His Wife, The","
We've lived for forty years, dear wife,
And walked together side by side,
And you to-day are just as dear
As when you were my bride.
I've tried to make life glad for you,
One long, sweet honeymoon of joy,
A dream of marital content,
Without the least alloy.
I've smoothed all boulders from our path,
That we in peace might toil along,
By always hastening to admit
That I was right and you were wrong.

No mad diversity of creed
Has ever sundered me from thee;
For I permit you evermore
To borrow your ideas of me.
And thus it is, through weal or woe,
Our love forevermore endures;
For I permit that you should take
My views and creeds, and make them yours.
And thus I let you have my way,
And thus in peace we toil along,
For I am willing to admit
That I am right and you are wrong.

And when our matrimonial skiff
Strikes snags in love's meandering stream,
I lift our shallop from the rocks,
And float as in a placid dream.
And well I know our marriage bliss
While life shall last will never cease;
For I shall always let thee do,
In generous love, just what I please.
Peace comes, and discord flies away,
Love's bright day follows hatred's night;
For I am ready to admit
That you are wrong and I am right."
46,Sam Walter Foss,"Meeting Of The Clabberhuses, The","
 I

He was the Chairman of the Guild
Of Early Pleiocene Patriarchs;
He was chief Mentor of the Lodge
Of the Oracular Oligarchs;
He was the Lord High Autocrat
And Vizier of the Sons of Light,
And Sultan and Grand Mandarin
Of the Millennial Men of Might.

He was Grand Totem and High Priest
Of the Independent Potentates;
Grand Mogul of the Galaxy
Of the Illustrious Stay-out-lates;
The President of the Dandydudes,
The Treasurer of the Sons of Glee;
The Leader of the Clubtown Band
And Architects of Melody.

 II

She was Grand Worthy Prophetess
Of the Illustrious Maids of Mark;
Of Vestals of the Third Degree
She was Most Potent Matriarch;
She was High Priestess of the Shrine
Of Clubtown's Culture Coterie,
And First Vice-President of the League
Of the illustrious G. A. B.

She was the First Dame of the Club
For teaching Patagonians Greek;
She was Chief Clerk and Auditor
Of Clubtown's Anti-Bachelor Clique;
She was High Treasurer of the Fund
For Borrioboolighalians,
And the Fund for Sending Browning's Poems
To Native-born Australians.

III

Once to a crowded social fete
Both these much-titled people came,
And each perceived, when introduced,
They had the selfsame name.
Their hostess said, when first they met:
""Permit me now to introduce
My good friend Mr. Clabberhuse
To Mrs. Clabberhuse.""

""'Tis very strange,"" said she to him,
""Such an unusual name!
A name so very seldom heard,
That we should bear the same.""
""Indeed, 'tis wonderful,"" said he,
""And I'm surprised the more,
Because I never heard the name
Outside my home before.

""But now I come to look at you,""
Said he, ""upon my life,
If I am not indeed deceived,
You are, you are, my wife.""
She gazed into his searching face
And seemed to look him through;
""Indeed,"" said she, ""it seems to me
You are my husband, too.

""I've been so busy with my clubs
And in my various spheres
I have not seen you now,"" she said,
""For over fourteen years.""
""That's just the way it's been with me,
These clubs demand a sight""
And then they both politely bowed,
And sweetly said ""Good night."""
47,Sam Walter Foss,"Philosopher, A","
Zack Bumstead useter flosserfize
About the ocean an' the skies;
An' gab an' gas f'um morn till noon
About the other side the moon;
An' 'bout the natur of the place
Ten miles beyend the end of space.
An' if his wife she'd ask the crank
Ef he wouldn't kinder try to yank
Hisself out-doors an' git some wood
To make her kitchen fire good,
So she c'd bake her beans an' pies,
He'd say, ""I've gotter flosserfize.""

An' then he'd set an' flosserfize
About the natur an' the size
Of angels' wings, an' think, and gawp,
An' wonder how they make 'em flop.
He'd calkerlate how long a skid
'Twould take to move the sun, he did;
An' if the skid was strong an' prime,
It couldn't be moved to supper-time.
An' w'en his wife 'd ask the lout
Ef he wouldn't kinder waltz about
An' take a rag an' shoo the flies,
He'd say, ""I've gotter flosserfize.""

An' then he'd set an' flosserfize
'Bout schemes for fencing in the skies,
Then lettin' out the lots to rent,
So's he could make an honest cent.
An' if he'd find it pooty tough
To borry cash fer fencin'-stuff;
An' if 'twere best to take his wealth
An' go to Europe for his health,
Or save his cash till he'd enough
To buy some more of fencin'-stuff;
Then, ef his wife she'd ask the gump
Ef he wouldn't kinder try to hump
Hisself to t'other side the door,
So she c'd come an' sweep the floor,
He'd look at her with mournful eyes,
An' say, ""I've gotter flosserfize.""

An' so he'd set an' flosserfize
'Bout what it wuz held up the skies,
An' how God made this earthly ball
Jest simply out er nawthin' 'tall,
An' 'bout the natur, shape, an' form
Of nawthin' that he made it from.
Then, ef his wife sh'd ask the freak
Ef he wouldn't kinder try to sneak
Out to the barn an' find some aigs,
He'd never move, nor lift his laigs;
He'd never stir, nor try to rise,
But say, ""I've gotter flosserfize.""

An' so he'd set an' flosserfize
About the earth, an' sea, an' skies,
An' scratch his head, an' ask the cause
Of w'at there wuz before time wuz,
An' w'at the universe 'd do
Bimeby w'en time hed all got through;
An' jest how fur we'd have to climb
Ef we sh'd travel out er time;
An' ef we'd need, w'en we got there,
To keep our watches in repair.
Then, ef his wife she'd ask the gawk
Ef he wouldn't kinder try to walk
To where she had the table spread,
An' kinder git his stomach fed,
He'd leap for that ar kitchen door,
An' say, ""W'y didn't you speak afore?""
An' when he'd got his supper et,
He'd set, an' set, an' set, an' set,
An' fold his arms, an' shet his eyes,
An' set, an' set, an' flosserfize."
